,R,P,V,I,D,T,pol,dush
615,задержания,задержании,задержание,задержание,задержанию,задержанием,ср,0.0
616,задолженности,задолженности,задолженность,задолженность,задолженности,задолженностью,Ж,0.0
617,займа,займе,заем,заем,займу,займом,М,0.0
618,заинтересованности,заинтересованности,заинтересованность,заинтересованность,заинтересованности,заинтересованностью,Ж,0.0
619,заказа,заказе,заказ,заказ,заказу,заказом,М,0.0
620,заказчика,заказчике,заказчика,заказчик,заказчику,заказчиком,М,1.0
621,заката,закате,закат,закат,закату,закатом,М,0.0
622,заклинания,заклинании,заклинание,заклинание,заклинанию,заклинанием,ср,0.0
623,заключения,заключении,заключение,заключение,заключению,заключением,ср,0.0
624,закона,законе,закон,закон,закону,законом,М,0.0
625,законности,законности,законность,законность,законности,законностью,Ж,0.0
626,законодательства,законодательстве,законодательство,законодательство,законодательству,законодательством,ср,0.0
627,закономерности,закономерности,закономерность,закономерность,закономерности,закономерностью,Ж,0.0
628,законопроекта,законопроекте,законопроект,законопроект,законопроекту,законопроектом,М,0.0
629,закрытия,закрытии,закрытие,закрытие,закрытию,закрытием,ср,0.0
630,зала,зале,зал,зал,залу,залом,М,0.0
631,залива,заливе,залив,залив,заливу,заливом,М,0.0
632,залога,залоге,залог,залог,залогу,залогом,М,0.0
633,залпа,залпе,залп,залп,залпу,залпом,М,0.0
634,зама,заме,зама,зам,заму,замом,М,1.0
635,заместителя,заместителе,заместителя,заместитель,заместителю,заместителем,М,1.0
636,замечания,замечании,замечание,замечание,замечанию,замечанием,ср,0.0
637,замешательства,замешательстве,замешательство,замешательство,замешательству,замешательством,ср,0.0
638,замка,замке,замок,замок,замку,замком,М,0.0
639,замка,замке,замок,замок,замку,замком,М,0.0
640,замысла,замысле,замысел,замысел,замыслу,замыслом,М,0.0
641,занавеса,занавесе,занавес,занавес,занавесу,занавесом,М,0.0
642,занятия,занятии,занятие,занятие,занятию,занятием,ср,0.0
643,занятости,занятости,занятость,занятость,занятости,занятостью,Ж,0.0
644,запада,западе,запад,запад,западу,западом,М,0.0
645,запаса,запасе,запас,запас,запасу,запасом,М,0.0
646,запаха,запахе,запах,запах,запаху,запахом,М,0.0
647,записи,записи,запись,запись,записи,записью,Ж,0.0
648,заповедника,заповеднике,заповедник,заповедник,заповеднику,заповедником,М,0.0
649,заповеди,заповеди,заповедь,заповедь,заповеди,заповедью,Ж,0.0
650,запрета,запрете,запрет,запрет,запрету,запретом,М,0.0
651,запроса,запросе,запрос,запрос,запросу,запросом,М,0.0
652,запуска,запуске,запуск,запуск,запуску,запуском,М,0.0
653,запястья,запястье,запястье,запястье,запястью,запястьем,ср,0.0
654,заработка,заработке,заработок,заработок,заработку,заработком,М,0.0
655,заросли,заросли,заросль,заросль,заросли,зарослью,Ж,0.0
656,заряда,заряде,заряд,заряд,заряду,зарядом,М,0.0
657,заседания,заседании,заседание,заседание,заседанию,заседанием,ср,0.0
658,затеи,затее,затею,затея,затее,затеей,Ж,0.0
659,затмения,затмении,затмение,затмение,затмению,затмением,ср,0.0
660,затруднения,затруднении,затруднение,затруднение,затруднению,затруднением,ср,0.0
661,затылка,затылке,затылок,затылок,затылку,затылком,М,0.0
662,захвата,захвате,захват,захват,захвату,захватом,М,0.0
663,захода,заходе,заход,заход,заходу,заходом,М,0.0
664,зачета,зачете,зачет,зачет,зачету,зачетом,М,0.0
665,защитника,защитнике,защитника,защитник,защитнику,защитником,М,1.0
666,заявления,заявлении,заявление,заявление,заявлению,заявлением,ср,0.0
667,зайца,зайце,зайца,заяц,зайцу,зайцем,М,1.0
668,звания,звании,звание,звание,званию,званием,ср,0.0
669,звена,звене,звено,звено,звену,звеном,ср,0.0
670,зверя,звере,зверя,зверь,зверю,зверем,М,1.0
671,звонка,звонке,звонок,звонок,звонку,звонком,М,0.0
672,звука,звуке,звук,звук,звуку,звуком,М,0.0
673,звучания,звучании,звучание,звучание,звучанию,звучанием,ср,0.0
674,здания,здании,здание,здание,зданию,зданием,ср,0.0
675,здоровья,здоровье,здоровье,здоровье,здоровью,здоровьем,ср,0.0
676,здравоохранения,здравоохранении,здравоохранение,здравоохранение,здравоохранению,здравоохранением,ср,0.0
677,зелени,зелени,зелень,зелень,зелени,зеленью,Ж,0.0
678,землетрясения,землетрясении,землетрясение,землетрясение,землетрясению,землетрясением,ср,0.0
679,земляка,земляке,земляка,земляк,земляку,земляком,М,1.0
680,земского,земском,земского,земский,земскому,земским,М,1.0
681,зенита,зените,зенит,зенит,зениту,зенитом,М,0.0
682,зеркала,зеркале,зеркало,зеркало,зеркалу,зеркалом,ср,0.0
683,зерна,зерне,зерно,зерно,зерну,зерном,ср,0.0
684,зла,зле,зло,зло,злу,злом,ср,0.0
685,злодея,злодее,злодея,злодей,злодею,злодеем,М,1.0
686,злости,злости,злость,злость,злости,злостью,Ж,0.0
687,злоупотребления,злоупотреблении,злоупотребление,злоупотребление,злоупотреблению,злоупотреблением,ср,0.0
688,змеи,змее,змею,змея,змее,змеей,Ж,1.0
689,знака,знаке,знак,знак,знаку,знаком,М,0.0
690,знакомства,знакомстве,знакомство,знакомство,знакомству,знакомством,ср,0.0
691,знамени,знамени,знамя,знамя,знамени,знаменем,ср,0.0
692,знания,знании,знание,знание,знанию,знанием,ср,0.0
693,знати,знати,знать,знать,знати,знатью,Ж,0.0
694,значения,значении,значение,значение,значению,значением,ср,0.0
695,значимости,значимости,значимость,значимость,значимости,значимостью,Ж,0.0
696,значка,значке,значок,значок,значку,значком,М,0.0
697,зова,зове,зов,зов,зову,зовом,М,0.0
698,золота,золоте,золото,золото,золоту,золотом,ср,0.0
699,золотого,золотом,золотой,золотой,золотому,золотым,М,0.0
700,зонтика,зонтике,зонтик,зонтик,зонтику,зонтиком,М,0.0
701,зоопарка,зоопарке,зоопарк,зоопарк,зоопарку,зоопарком,М,0.0
702,зрачка,зрачке,зрачок,зрачок,зрачку,зрачком,М,0.0
703,зрелища,зрелище,зрелище,зрелище,зрелищу,зрелищем,ср,0.0
704,зрелости,зрелости,зрелость,зрелость,зрелости,зрелостью,Ж,0.0
705,зрения,зрении,зрение,зрение,зрению,зрением,ср,0.0
706,зрителя,зрителе,зрителя,зритель,зрителю,зрителем,М,1.0
707,зуба,зубе,зуб,зуб,зубу,зубом,М,0.0
708,зятя,зяте,зятя,зять,зятю,зятем,М,1.0
709,игрока,игроке,игрока,игрок,игроку,игроком,М,1.0
710,идеала,идеале,идеал,идеал,идеалу,идеалом,М,0.0
711,идентификации,идентификации,идентификацию,идентификация,идентификации,идентификацией,Ж,0.0
712,идентичности,идентичности,идентичность,идентичность,идентичности,идентичностью,Ж,0.0
713,идеологии,идеологии,идеологию,идеология,идеологии,идеологией,Ж,0.0
714,идеи,идее,идею,идея,идее,идеей,Ж,0.0
715,идиота,идиоте,идиота,идиот,идиоту,идиотом,М,1.0
716,иерархии,иерархии,иерархию,иерархия,иерархии,иерархией,Ж,0.0
717,избытка,избытке,избыток,избыток,избытку,избытком,М,0.0
718,известия,известии,известие,известие,известию,известием,ср,0.0
719,известности,известности,известность,известность,известности,известностью,Ж,0.0
720,изгнания,изгнании,изгнание,изгнание,изгнанию,изгнанием,ср,0.0
721,изготовления,изготовлении,изготовление,изготовление,изготовлению,изготовлением,ср,0.0
722,издания,издании,издание,издание,изданию,изданием,ср,0.0
723,издателя,издателе,издателя,издатель,издателю,издателем,М,1.0
724,издательства,издательстве,издательство,издательство,издательству,издательством,ср,0.0
725,изделия,изделии,изделие,изделие,изделию,изделием,ср,0.0
726,изложения,изложении,изложение,изложение,изложению,изложением,ср,0.0
727,излучения,излучении,излучение,излучение,излучению,излучением,ср,0.0
728,изменения,изменении,изменение,изменение,изменению,изменением,ср,0.0
729,измерения,измерении,измерение,измерение,измерению,измерением,ср,0.0
730,изобилия,изобилии,изобилие,изобилие,изобилию,изобилием,ср,0.0
731,изображения,изображении,изображение,изображение,изображению,изображением,ср,0.0
732,изобретателя,изобретателе,изобретателя,изобретатель,изобретателю,изобретателем,М,1.0
733,изобретения,изобретении,изобретение,изобретение,изобретению,изобретением,ср,0.0
734,изоляции,изоляции,изоляцию,изоляция,изоляции,изоляцией,Ж,0.0
735,изумления,изумлении,изумление,изумление,изумлению,изумлением,ср,0.0
736,изучения,изучении,изучение,изучение,изучению,изучением,ср,0.0
737,ила,иле,ил,ил,илу,илом,М,0.0
738,иллюзии,иллюзии,иллюзию,иллюзия,иллюзии,иллюзией,Ж,0.0
739,иллюстрации,иллюстрации,иллюстрацию,иллюстрация,иллюстрации,иллюстрацией,Ж,0.0
740,имения,имении,имение,имение,имению,имением,ср,0.0
741,имиджа,имидже,имидж,имидж,имиджу,имиджем,М,0.0
742,императора,императоре,императора,император,императору,императором,М,1.0
743,империи,империи,империю,империя,империи,империей,Ж,0.0
744,импорта,импорте,импорт,импорт,импорту,импортом,М,0.0
745,импульса,импульсе,импульс,импульс,импульсу,импульсом,М,0.0
746,имущества,имуществе,имущество,имущество,имуществу,имуществом,ср,0.0
747,имени,имени,имя,имя,имени,именем,ср,0.0
748,инвалида,инвалиде,инвалида,инвалид,инвалиду,инвалидом,М,1.0
749,инвестиции,инвестиции,инвестицию,инвестиция,инвестиции,инвестицией,Ж,0.0
750,индейца,индейце,индейца,индеец,индейцу,индейцем,М,1.0
751,индекса,индексе,индекс,индекс,индексу,индексом,М,0.0
752,индивида,индивиде,индивида,индивид,индивиду,индивидом,М,1.0
753,индивидуальности,индивидуальности,индивидуальность,индивидуальность,индивидуальности,индивидуальностью,Ж,0.0
754,индивидуума,индивидууме,индивидуума,индивидуум,индивидууму,индивидуумом,М,1.0
755,индикатора,индикаторе,индикатор,индикатор,индикатору,индикатором,М,0.0
756,индустрии,индустрии,индустрию,индустрия,индустрии,индустрией,Ж,0.0
757,инерции,инерции,инерцию,инерция,инерции,инерцией,Ж,0.0
758,инженера,инженере,инженера,инженер,инженеру,инженером,М,1.0
759,иностранца,иностранце,иностранца,иностранец,иностранцу,иностранцем,М,1.0
760,инспектора,инспекторе,инспектора,инспектор,инспектору,инспектором,М,1.0
761,инспекции,инспекции,инспекцию,инспекция,инспекции,инспекцией,Ж,0.0
762,инстанции,инстанции,инстанцию,инстанция,инстанции,инстанцией,Ж,0.0
763,инстинкта,инстинкте,инстинкт,инстинкт,инстинкту,инстинктом,М,0.0
764,института,институте,институт,институт,институту,институтом,М,0.0
765,инструкции,инструкции,инструкцию,инструкция,инструкции,инструкцией,Ж,0.0
766,инструмента,инструменте,инструмент,инструмент,инструменту,инструментом,М,0.0
767,инсулина,инсулине,инсулин,инсулин,инсулину,инсулином,М,0.0
768,интеграции,интеграции,интеграцию,интеграция,интеграции,интеграцией,Ж,0.0
769,интеллекта,интеллекте,интеллект,интеллект,интеллекту,интеллектом,М,0.0
770,интеллигенции,интеллигенции,интеллигенцию,интеллигенция,интеллигенции,интеллигенцией,Ж,0.0
771,интенсивности,интенсивности,интенсивность,интенсивность,интенсивности,интенсивностью,Ж,0.0
772,интервала,интервале,интервал,интервал,интервалу,интервалом,М,0.0
773,интереса,интересе,интерес,интерес,интересу,интересом,М,0.0
774,интернета,интернете,интернет,интернет,интернету,интернетом,М,0.0
775,интерпретации,интерпретации,интерпретацию,интерпретация,интерпретации,интерпретацией,Ж,0.0
776,интерфейса,интерфейсе,интерфейс,интерфейс,интерфейсу,интерфейсом,М,0.0
777,интерьера,интерьере,интерьер,интерьер,интерьеру,интерьером,М,0.0
778,интонации,интонации,интонацию,интонация,интонации,интонацией,Ж,0.0
779,интуиции,интуиции,интуицию,интуиция,интуиции,интуицией,Ж,0.0
780,инфекции,инфекции,инфекцию,инфекция,инфекции,инфекцией,Ж,0.0
781,инфляции,инфляции,инфляцию,инфляция,инфляции,инфляцией,Ж,0.0
782,информации,информации,информацию,информация,информации,информацией,Ж,0.0
783,инцидента,инциденте,инцидент,инцидент,инциденту,инцидентом,М,0.0
784,иронии,иронии,иронию,ирония,иронии,иронией,Ж,0.0
785,иска,иске,иск,иск,иску,иском,М,0.0
786,искажения,искажении,искажение,искажение,искажению,искажением,ср,0.0
787,исключения,исключении,исключение,исключение,исключению,исключением,ср,0.0
788,искренности,искренности,искренность,искренность,искренности,искренностью,Ж,0.0
789,искусства,искусстве,искусство,искусство,искусству,искусством,ср,0.0
790,искушения,искушении,искушение,искушение,искушению,искушением,ср,0.0
791,ислама,исламе,ислам,ислам,исламу,исламом,М,0.0
792,испанца,испанце,испанца,испанец,испанцу,испанцем,М,1.0
793,исповеди,исповеди,исповедь,исповедь,исповеди,исповедью,Ж,0.0
794,исполнения,исполнении,исполнение,исполнение,исполнению,исполнением,ср,0.0
795,исполнителя,исполнителе,исполнителя,исполнитель,исполнителю,исполнителем,М,1.0
796,исполнительного,исполнительном,исполнительный,исполнительный,исполнительному,исполнительным,М,0.0
797,использования,использовании,использование,использование,использованию,использованием,ср,0.0
798,исправления,исправлении,исправление,исправление,исправлению,исправлением,ср,0.0
799,испытания,испытании,испытание,испытание,испытанию,испытанием,ср,0.0
800,исследования,исследовании,исследование,исследование,исследованию,исследованием,ср,0.0
801,исследователя,исследователе,исследователя,исследователь,исследователю,исследователем,М,1.0
802,истечения,истечении,истечение,истечение,истечению,истечением,ср,0.0
803,истока,истоке,исток,исток,истоку,истоком,М,0.0
804,историка,историке,историка,историк,историку,историком,М,1.0
805,истории,истории,историю,история,истории,историей,Ж,0.0
806,источника,источнике,источник,источник,источнику,источником,М,0.0
807,исхода,исходе,исход,исход,исходу,исходом,М,0.0
808,исчезновения,исчезновении,исчезновение,исчезновение,исчезновению,исчезновением,ср,0.0
809,итальянца,итальянце,итальянца,итальянец,итальянцу,итальянцем,М,1.0
810,итога,итоге,итог,итог,итогу,итогом,М,0.0
811,иудея,иудее,иудея,иудей,иудею,иудеем,М,1.0
812,июля,июле,июль,июль,июлю,июлем,М,0.0
813,июня,июне,июнь,июнь,июню,июнем,М,0.0
814,кабеля,кабеле,кабель,кабель,кабелю,кабелем,М,0.0
815,кабинета,кабинете,кабинет,кабинет,кабинету,кабинетом,М,0.0
816,каблука,каблуке,каблук,каблук,каблуку,каблуком,М,0.0
817,кавалера,кавалере,кавалера,кавалер,кавалеру,кавалером,М,1.0
818,казака,казаке,казака,казак,казаку,казаком,М,1.0
819,казни,казни,казнь,казнь,казни,казнью,Ж,0.0
820,кайфа,кайфе,кайф,кайф,кайфу,кайфом,М,0.0
821,календаря,календаре,календарь,календарь,календарю,календарем,М,0.0
822,калибра,калибре,калибр,калибр,калибру,калибром,М,0.0
823,камня,камне,камень,камень,камню,камнем,М,0.0
824,камина,камине,камин,камин,камину,камином,М,0.0
825,кампании,кампании,кампанию,кампания,кампании,кампанией,Ж,0.0
826,канала,канале,канал,канал,каналу,каналом,М,0.0
827,кандидата,кандидате,кандидата,кандидат,кандидату,кандидатом,М,1.0
828,канона,каноне,канон,канон,канону,каноном,М,0.0
829,канта,канте,кант,кант,канту,кантом,М,0.0
830,канцелярии,канцелярии,канцелярию,канцелярия,канцелярии,канцелярией,Ж,0.0
831,капитала,капитале,капитал,капитал,капиталу,капиталом,М,0.0
832,капитализма,капитализме,капитализм,капитализм,капитализму,капитализмом,М,0.0
833,капитана,капитане,капитана,капитан,капитану,капитаном,М,1.0
834,капли,капле,каплю,капля,капле,каплей,Ж,0.0
835,каравана,караване,караван,караван,каравану,караваном,М,0.0
836,карандаша,карандаше,карандаш,карандаш,карандашу,карандашом,М,0.0
837,караула,карауле,караул,караул,караулу,караулом,М,0.0
838,кармана,кармане,карман,карман,карману,карманом,М,0.0
839,картофеля,картофеле,картофель,картофель,картофелю,картофелем,М,0.0
840,кастрюли,кастрюле,кастрюлю,кастрюля,кастрюле,кастрюлей,Ж,0.0
841,каталога,каталоге,каталог,каталог,каталогу,каталогом,М,0.0
842,категории,категории,категорию,категория,категории,категорией,Ж,0.0
843,катера,катере,катер,катер,катеру,катером,М,0.0
844,качества,качестве,качество,качество,качеству,качеством,ср,0.0
845,квадрата,квадрате,квадрат,квадрат,квадрату,квадратом,М,0.0
846,квалификации,квалификации,квалификацию,квалификация,квалификации,квалификацией,Ж,0.0
847,квартала,квартале,квартал,квартал,кварталу,кварталом,М,0.0
848,километра,километре,километр,километр,километру,километром,М,0.0
849,кинематографа,кинематографе,кинематограф,кинематограф,кинематографу,кинематографом,М,0.0
850,кинжала,кинжале,кинжал,кинжал,кинжалу,кинжалом,М,0.0
851,кинотеатра,кинотеатре,кинотеатр,кинотеатр,кинотеатру,кинотеатром,М,0.0
852,киоска,киоске,киоск,киоск,киоску,киоском,М,0.0
853,кирпича,кирпиче,кирпич,кирпич,кирпичу,кирпичом,М,0.0
854,кислорода,кислороде,кислород,кислород,кислороду,кислородом,М,0.0
855,кисти,кисти,кисть,кисть,кисти,кистью,Ж,0.0
856,кита,ките,кита,кит,киту,китом,М,1.0
857,китайца,китайце,китайца,китаец,китайцу,китайцем,М,1.0
858,кишечника,кишечнике,кишечник,кишечник,кишечнику,кишечником,М,0.0
859,кладбища,кладбище,кладбище,кладбище,кладбищу,кладбищем,ср,0.0
860,клана,клане,клан,клан,клану,кланом,М,0.0
861,класса,классе,класс,класс,классу,классом,М,0.0
862,классика,классике,классика,классик,классику,классиком,М,1.0
863,классификации,классификации,классификацию,классификация,классификации,классификацией,Ж,0.0
864,клиента,клиенте,клиента,клиент,клиенту,клиентом,М,1.0
865,климата,климате,климат,климат,климату,климатом,М,0.0
866,клочка,клочке,клочок,клочок,клочку,клочком,М,0.0
867,клуба,клубе,клуб,клуб,клубу,клубом,М,0.0
868,ключа,ключе,ключ,ключ,ключу,ключом,М,0.0
869,князя,князе,князя,князь,князю,князем,М,1.0
870,коалиции,коалиции,коалицию,коалиция,коалиции,коалицией,Ж,0.0
871,ковра,ковре,ковер,ковер,ковру,ковром,М,0.0
872,когтя,когте,коготь,коготь,когтю,когтем,М,0.0
873,кода,коде,код,код,коду,кодом,М,0.0
874,кодекса,кодексе,кодекс,кодекс,кодексу,кодексом,М,0.0
875,коктейля,коктейле,коктейль,коктейль,коктейлю,коктейлем,М,0.0
876,колебания,колебании,колебание,колебание,колебанию,колебанием,ср,0.0
877,колена,колене,колено,колено,колену,коленом,ср,0.0
878,колеса,колесе,колесо,колесо,колесу,колесом,ср,0.0
879,колеи,колее,колею,колея,колее,колеей,Ж,0.0
880,количества,количестве,количество,количество,количеству,количеством,ср,0.0
881,коллегии,коллегии,коллегию,коллегия,коллегии,коллегией,Ж,0.0
882,колледжа,колледже,колледж,колледж,колледжу,колледжем,М,0.0
883,коллектива,коллективе,коллектив,коллектив,коллективу,коллективом,М,0.0
884,коллекции,коллекции,коллекцию,коллекция,коллекции,коллекцией,Ж,0.0
885,колодца,колодце,колодец,колодец,колодцу,колодцем,М,0.0
886,колокола,колоколе,колокол,колокол,колоколу,колоколом,М,0.0
887,колокольчика,колокольчике,колокольчик,колокольчик,колокольчику,колокольчиком,М,0.0
888,колонии,колонии,колонию,колония,колонии,колонией,Ж,0.0
889,колхоза,колхозе,колхоз,колхоз,колхозу,колхозом,М,0.0
890,кольца,кольце,кольцо,кольцо,кольцу,кольцом,ср,0.0
891,кома,коме,ком,ком,кому,комом,М,0.0
892,командира,командире,командира,командир,командиру,командиром,М,1.0
893,командования,командовании,командование,командование,командованию,командованием,ср,0.0
894,командующего,командующем,командующего,командующий,командующему,командующим,М,1.0
895,комбината,комбинате,комбинат,комбинат,комбинату,комбинатом,М,0.0
896,комбинации,комбинации,комбинацию,комбинация,комбинации,комбинацией,Ж,0.0
897,комедии,комедии,комедию,комедия,комедии,комедией,Ж,0.0
898,коменданта,коменданте,коменданта,комендант,коменданту,комендантом,М,1.0
899,комиссара,комиссаре,комиссара,комиссар,комиссару,комиссаром,М,1.0
900,комиссии,комиссии,комиссию,комиссия,комиссии,комиссией,Ж,0.0
901,комитета,комитете,комитет,комитет,комитету,комитетом,М,0.0
902,комментария,комментарии,комментарий,комментарий,комментарию,комментарием,М,0.0
903,коммерсанта,коммерсанте,коммерсанта,коммерсант,коммерсанту,коммерсантом,М,1.0
904,коммунизма,коммунизме,коммунизм,коммунизм,коммунизму,коммунизмом,М,0.0
905,коммуникации,коммуникации,коммуникацию,коммуникация,коммуникации,коммуникацией,Ж,0.0
906,коммуниста,коммунисте,коммуниста,коммунист,коммунисту,коммунистом,М,1.0
907,компа,компе,комп,комп,компу,компом,М,0.0
908,компании,компании,компанию,компания,компании,компанией,Ж,0.0
909,компенсации,компенсации,компенсацию,компенсация,компенсации,компенсацией,Ж,0.0
910,компетенции,компетенции,компетенцию,компетенция,компетенции,компетенцией,Ж,0.0
911,комплекса,комплексе,комплекс,комплекс,комплексу,комплексом,М,0.0
912,комплекта,комплекте,комплект,комплект,комплекту,комплектом,М,0.0
913,комплимента,комплименте,комплимент,комплимент,комплименту,комплиментом,М,0.0
914,композитора,композиторе,композитора,композитор,композитору,композитором,М,1.0
915,композиции,композиции,композицию,композиция,композиции,композицией,Ж,0.0
916,компонента,компоненте,компонент,компонент,компоненту,компонентом,М,0.0
917,компромисса,компромиссе,компромисс,компромисс,компромиссу,компромиссом,М,0.0
918,компьютера,компьютере,компьютер,компьютер,компьютеру,компьютером,М,0.0
919,комсомола,комсомоле,комсомол,комсомол,комсомолу,комсомолом,М,0.0
920,комсомольца,комсомольце,комсомольца,комсомолец,комсомольцу,комсомольцем,М,1.0
921,комфорта,комфорте,комфорт,комфорт,комфорту,комфортом,М,0.0
922,конвенции,конвенции,конвенцию,конвенция,конвенции,конвенцией,Ж,0.0
923,конверта,конверте,конверт,конверт,конверту,конвертом,М,0.0
924,конвоя,конвое,конвой,конвой,конвою,конвоем,М,0.0
925,конгресса,конгрессе,конгресс,конгресс,конгрессу,конгрессом,М,0.0
926,кондиционера,кондиционере,кондиционер,кондиционер,кондиционеру,кондиционером,М,0.0
927,конца,конце,конец,конец,концу,концом,М,0.0
928,конечности,конечности,конечность,конечность,конечности,конечностью,Ж,0.0
929,конкурента,конкуренте,конкурента,конкурент,конкуренту,конкурентом,М,1.0
930,конкуренции,конкуренции,конкуренцию,конкуренция,конкуренции,конкуренцией,Ж,0.0
931,конкурса,конкурсе,конкурс,конкурс,конкурсу,конкурсом,М,0.0
932,конного,конном,конного,конный,конному,конным,М,1.0
933,конституции,конституции,конституцию,конституция,конституции,конституцией,Ж,0.0
934,конструкции,конструкции,конструкцию,конструкция,конструкции,конструкцией,Ж,0.0
935,консультации,консультации,консультацию,консультация,консультации,консультацией,Ж,0.0
936,контакта,контакте,контакт,контакт,контакту,контактом,М,0.0
937,контейнера,контейнере,контейнер,контейнер,контейнеру,контейнером,М,0.0
938,контекста,контексте,контекст,контекст,контексту,контекстом,М,0.0
939,континента,континенте,континент,континент,континенту,континентом,М,0.0
940,контракта,контракте,контракт,контракт,контракту,контрактом,М,0.0
941,контраста,контрасте,контраст,контраст,контрасту,контрастом,М,0.0
942,контроля,контроле,контроль,контроль,контролю,контролем,М,0.0
943,контура,контуре,контур,контур,контуру,контуром,М,0.0
944,конференции,конференции,конференцию,конференция,конференции,конференцией,Ж,0.0
945,конфигурации,конфигурации,конфигурацию,конфигурация,конфигурации,конфигурацией,Ж,0.0
946,конфликта,конфликте,конфликт,конфликт,конфликту,конфликтом,М,0.0
947,концентрации,концентрации,концентрацию,концентрация,концентрации,концентрацией,Ж,0.0
948,концепции,концепции,концепцию,концепция,концепции,концепцией,Ж,0.0
949,концерта,концерте,концерт,концерт,концерту,концертом,М,0.0
950,кончика,кончике,кончик,кончик,кончику,кончиком,М,0.0
951,коня,коне,коня,конь,коню,конем,М,1.0
952,коньяка,коньяке,коньяк,коньяк,коньяку,коньяком,М,0.0
953,конюшни,конюшне,конюшню,конюшня,конюшне,конюшней,Ж,0.0
954,координации,координации,координацию,координация,координации,координацией,Ж,0.0
955,копирования,копировании,копирование,копирование,копированию,копированием,ср,0.0
956,копии,копии,копию,копия,копии,копией,Ж,0.0
957,копыта,копыте,копыто,копыто,копыту,копытом,ср,0.0
958,копья,копье,копье,копье,копью,копьем,ср,0.0
959,корабля,корабле,корабль,корабль,кораблю,кораблем,М,0.0
960,коридора,коридоре,коридор,коридор,коридору,коридором,М,0.0
961,кормления,кормлении,кормление,кормление,кормлению,кормлением,ср,0.0
962,королевства,королевстве,королевство,королевство,королевству,королевством,ср,0.0
963,короля,короле,короля,король,королю,королем,М,1.0
964,корпорации,корпорации,корпорацию,корпорация,корпорации,корпорацией,Ж,0.0
965,корпуса,корпусе,корпус,корпус,корпусу,корпусом,М,0.0
966,коррекции,коррекции,коррекцию,коррекция,коррекции,коррекцией,Ж,0.0
967,коррупции,коррупции,коррупцию,коррупция,коррупции,коррупцией,Ж,0.0
968,космоса,космосе,космос,космос,космосу,космосом,М,0.0
969,костра,костре,костер,костер,костру,костром,М,0.0
970,костыля,костыле,костыль,костыль,костылю,костылем,М,0.0
971,костюма,костюме,костюм,костюм,костюму,костюмом,М,0.0
972,косяка,косяке,косяк,косяк,косяку,косяком,М,0.0
973,кота,коте,кота,кот,коту,котом,М,1.0
974,котла,котле,котел,котел,котлу,котлом,М,0.0
975,котенка,котенке,котенка,котенок,котенку,котенком,М,1.0
976,кошелька,кошельке,кошелек,кошелек,кошельку,кошельком,М,0.0
977,кошмара,кошмаре,кошмар,кошмар,кошмару,кошмаром,М,0.0
978,коэффициента,коэффициенте,коэффициент,коэффициент,коэффициенту,коэффициентом,М,0.0
979,крайности,крайности,крайность,крайность,крайности,крайностью,Ж,0.0
980,крана,кране,кран,кран,крану,краном,М,0.0
981,красавца,красавце,красавца,красавец,красавцу,красавцем,М,1.0
982,красного,красном,красного,красный,красному,красным,М,1.0
983,краха,крахе,крах,крах,краху,крахом,М,0.0
984,кредита,кредите,кредит,кредит,кредиту,кредитом,М,0.0
985,кредитования,кредитовании,кредитование,кредитование,кредитованию,кредитованием,ср,0.0
986,крейсера,крейсере,крейсер,крейсер,крейсеру,крейсером,М,0.0
987,крема,креме,крем,крем,крему,кремом,М,0.0
988,кремля,кремле,кремль,кремль,кремлю,кремлем,М,0.0
989,крепости,крепости,крепость,крепость,крепости,крепостью,Ж,0.0
990,кресла,кресле,кресло,кресло,креслу,креслом,ср,0.0
991,креста,кресте,крест,крест,кресту,крестом,М,0.0
992,крестьянина,крестьянине,крестьянина,крестьянин,крестьянину,крестьянином,М,1.0
993,крещения,крещении,крещение,крещение,крещению,крещением,ср,0.0
994,кризиса,кризисе,кризис,кризис,кризису,кризисом,М,0.0
995,крика,крике,крик,крик,крику,криком,М,0.0
996,кристалла,кристалле,кристалл,кристалл,кристаллу,кристаллом,М,0.0
997,критерия,критерии,критерий,критерий,критерию,критерием,М,0.0
998,критика,критике,критик,критик,критику,критиком,М,0.0
999,кровати,кровати,кровать,кровать,кровати,кроватью,Ж,0.0
1000,крокодила,крокодиле,крокодила,крокодил,крокодилу,крокодилом,М,1.0
1001,кролика,кролике,кролика,кролик,кролику,кроликом,М,1.0
1002,кружка,кружке,кружок,кружок,кружку,кружком,М,0.0
1003,крушения,крушении,крушение,крушение,крушению,крушением,ср,0.0
1004,крыла,крыле,крыло,крыло,крылу,крылом,ср,0.0
1005,крыльца,крыльце,крыльцо,крыльцо,крыльцу,крыльцом,ср,0.0
